Date Time GMT-04:00,Cond,Temp2,,,,,
09/11/15 13:00:00,60.75,77.81,,,,,
09/11/15 13:15:00,60.67,77.79,,,,,
09/11/15 13:30:00,60.60,77.74,,,,,
09/11/15 13:45:00,60.45,77.72,,,,,
09/11/15 14:00:00,60.45,77.70,,,,,
09/11/15 14:15:00,60.37,77.65,,,,,
09/11/15 14:30:00,60.29,77.63,,,,,
09/11/15 14:45:00,60.22,77.63,,,,,
09/11/15 15:00:00,60.22,77.59,,,,,
09/11/15 15:15:00,60.37,77.59,,,,,
09/11/15 15:30:00,60.38,77.52,,,,,
09/11/15 15:45:00,60.45,77.50,,,,,
09/11/15 16:00:00,60.45,77.45,,,,,
09/11/15 16:15:00,60.69,77.45,,,,,
09/11/15 16:30:00,60.76,77.43,,,,,
09/11/15 16:45:00,60.76,77.43,,,,,
09/11/15 17:00:00,60.61,77.43,,,,,
09/11/15 17:15:00,60.53,77.43,,,,,
09/11/15 17:30:00,60.61,77.40,,,,,
09/11/15 17:45:00,60.61,77.40,,,,,
09/11/15 18:00:00,60.53,77.36,,,,,
09/11/15 18:15:00,60.54,77.32,,,,,
09/11/15 18:30:00,60.38,77.27,,,,,
09/11/15 18:45:00,60.08,77.18,,,,,
09/11/15 19:00:00,59.47,77.13,,,,,
09/11/15 19:15:00,58.86,77.04,,,,,
09/11/15 19:30:00,58.47,76.96,,,,,
09/11/15 19:45:00,58.17,76.91,,,,,
09/11/15 20:00:00,57.79,76.84,,,,,
09/11/15 20:15:00,57.33,76.78,,,,,
09/11/15 20:30:00,57.02,76.77,,,,,
09/11/15 20:45:00,56.79,76.71,,,,,
09/11/15 21:00:00,56.41,76.69,,,,,
09/11/15 21:15:00,56.18,76.68,,,,,
09/11/15 21:30:00,56.03,76.62,,,,,
09/11/15 21:45:00,55.87,76.62,,,,,
09/11/15 22:00:00,55.65,76.53,,,,,
09/11/15 22:15:00,55.42,76.42,,,,,
09/11/15 22:30:00,55.19,76.37,,,,,
09/11/15 22:45:00,54.96,76.30,,,,,
09/11/15 23:00:00,54.89,76.24,,,,,
09/11/15 23:15:00,54.81,76.23,,,,,
09/11/15 23:30:00,54.81,76.17,,,,,
09/11/15 23:45:00,54.74,76.15,,,,,
09/12/15 00:00:00,54.74,76.10,,,,,
09/12/15 00:15:00,54.74,76.05,,,,,
09/12/15 00:30:00,54.74,76.01,,,,,
09/12/15 00:45:00,54.66,76.01,,,,,
09/12/15 01:00:00,54.67,75.96,,,,,
09/12/15 01:15:00,54.67,75.94,,,,,
09/12/15 01:30:00,54.67,75.90,,,,,
09/12/15 01:45:00,54.67,75.87,,,,,
09/12/15 02:00:00,54.67,75.87,,,,,
09/12/15 02:15:00,54.67,75.83,,,,,
09/12/15 02:30:00,54.67,75.81,,,,,
09/12/15 02:45:00,54.67,75.81,,,,,
09/12/15 03:00:00,54.67,75.79,,,,,
09/12/15 03:15:00,54.59,75.79,,,,,
09/12/15 03:30:00,54.67,75.76,,,,,
09/12/15 03:45:00,54.75,75.72,,,,,
09/12/15 04:00:00,54.75,75.72,,,,,
09/12/15 04:15:00,54.83,75.69,,,,,
09/12/15 04:30:00,54.90,75.69,,,,,
09/12/15 04:45:00,54.90,75.69,,,,,
09/12/15 05:00:00,54.98,75.69,,,,,
09/12/15 05:15:00,55.06,75.67,,,,,
09/12/15 05:30:00,55.14,75.67,,,,,
09/12/15 05:45:00,55.14,75.61,,,,,
09/12/15 06:00:00,55.06,75.58,,,,,
09/12/15 06:15:00,55.07,75.45,,,,,
09/12/15 06:30:00,55.14,75.38,,,,,
09/12/15 06:45:00,55.15,75.31,,,,,
09/12/15 07:00:00,55.15,75.27,,,,,
09/12/15 07:15:00,55.23,75.24,,,,,
09/12/15 07:30:00,55.23,75.20,,,,,
09/12/15 07:45:00,55.23,75.22,,,,,
09/12/15 08:00:00,55.30,75.22,,,,,
09/12/15 08:15:00,55.46,75.27,,,,,
09/12/15 08:30:00,55.53,75.29,,,,,
09/12/15 08:45:00,55.61,75.34,,,,,
09/12/15 09:00:00,55.68,75.34,,,,,
09/12/15 09:15:00,55.76,75.34,,,,,
09/12/15 09:30:00,55.84,75.34,,,,,
09/12/15 09:45:00,55.91,75.36,,,,,
09/12/15 10:00:00,55.99,75.38,,,,,
09/12/15 10:15:00,55.99,75.42,,,,,
09/12/15 10:30:00,56.07,75.43,,,,,
09/12/15 10:45:00,56.22,75.45,,,,,
09/12/15 11:00:00,56.22,75.51,,,,,
09/12/15 11:15:00,56.37,75.52,,,,,
09/12/15 11:30:00,56.45,75.52,,,,,
09/12/15 11:45:00,56.45,75.54,,,,,
09/12/15 12:00:00,56.52,75.58,,,,,
09/12/15 12:15:00,56.75,75.61,,,,,
09/12/15 12:30:00,56.67,75.67,,,,,
09/12/15 12:45:00,56.82,75.69,,,,,
09/12/15 13:00:00,56.90,75.72,,,,,
09/12/15 13:15:00,56.98,75.74,,,,,
