Depth,SiteName,Big Dig Site Code,Latitude,Longitude,Elevation,SO,FT,CP,P,Depth,Interval,Car %?,Nit,Phos,BicarP,NaOHP,pH,water,bio.nmol,bio,bio.C,AG,AG.bio,AG.C,BG,BG.bio,BG.C,BX,BX.bio,BX.C,CBH,CBH.bio,CBH.C,NAG,NAG.bio,NAG.C,AP,AP.bio,AP.C,Cenz,Cenz.bio,logNCEnz,logCPEnz,logNPEnz,EnzTotal,EnzTotal.bio,Act,AMF,Ana,Euk,Fung,GramN,GramP,Gen,Act.nor,AMF.nor,Ana.nor,Euk.nor,Fung.nor,GramN.nor,GramP.nor,Bact.total,Fung.total
0,CODYS-1-MS ridge,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,ridge,P1,0,0,3.41,0.18,64.65,12.63,47.64,4.1,0.56,166.41,36.38,10.67,23.36,0.64,6.85,323.73,8.9,94.94,103.88,2.86,30.46,94.48,2.6,27.71,209.25,5.75,61.36,3444.59,94.67,1010.14,545.45,14.99,0.848,0.774,0.657,4199.29,25.23,4.139,1.11,0,0.783,0.662,13.44,6.796,9.453,0.157,0.045,0,0.023,0.024,0.479,0.272,24.375,1.772
20,CODYS-1-MS ridge,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,ridge,P1,20,20,2.55,0.14,13.21,2.5425,9.0225,3.8,0.5,114.11,24.59,9.64,9.41,0.38,3.69,53.69,2.18,21.05,18.1,0.74,7.1,7.75,0.32,3.04,23.01,0.94,9.02,1304.99,53.07,511.76,88.96,3.62,0.706,0.627,0.443,1416.96,12.42,3.434,0.724,0.024,0.246,0.27,8.107,6.356,5.427,0.181,0.04,0.001,0.011,0.013,0.4,0.353,17.922,0.994
50,CODYS-1-MS ridge,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,ridge,P1,50,30,2.78,0.17,33.35,2.805,29.985,3.7,0.57,217.78,47.35,17.03,17.27,0.36,6.21,120.35,2.54,43.29,65.89,1.39,23.7,32.88,0.69,11.83,67.48,1.43,24.27,2435.75,51.44,876.17,236.39,4.99,0.773,0.701,0.542,2739.62,12.58,6.357,1.278,0.055,0.707,0.419,18.054,10.729,9.749,0.172,0.037,0.001,0.017,0.011,0.455,0.308,35.196,1.697
80,CODYS-1-MS ridge,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,ridge,P1,80,30,1.85,0.13,14.53,1.2675,13.005,3.9,0.31,101.79,22.04,11.91,12.11,0.55,6.55,68.43,3.1,36.99,26.41,1.2,14.28,12.97,0.59,7.01,36.75,1.67,19.86,1021.43,46.35,552.12,119.92,5.44,0.757,0.692,0.524,1178.1,11.57,3.132,0.501,0,0.411,0.402,6.992,5.447,5.154,0.188,0.032,0,0.021,0.023,0.393,0.344,15.571,0.903
110,CODYS-1-MS ridge,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,ridge,P1,110,30,0.42,0.03,6.68,0.81,5.685,3.7,0.31,11.71,2.5,5.97,4.3,1.72,10.27,4.6,1.84,10.99,2.39,0.95,5.71,1.72,0.69,4.11,1.97,0.79,4.71,313.47,125.19,749.01,13.01,5.2,0.412,0.459,0.189,328.45,28.05,0.356,0.046,0,0.055,0,0.466,0.896,0.685,0.2,0.027,0,0.025,0,0.236,0.513,1.718,0.046
140,CODYS-1-MS ridge,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,ridge,P1,140,30,0.13,0.01,6.77,0.822,4.62,3.4,0.24,2.34,0.5,3.72,5.69,11.43,42.38,2.69,5.41,20.04,2.12,4.26,15.79,2.34,4.7,17.43,0.46,0.92,3.43,55.02,110.56,409.8,12.84,25.8,0.144,0.653,0.094,68.32,29.13,0.076,0,0,0.005,0,0.189,0.128,0.1,0.187,0,0,0.011,0,0.465,0.337,0.393,0
0,CODYS-4-MS slope,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,slope,P2,0,0,16.11,0.53,111.82,30.21,72.42,4.3,1.67,658.02,141.71,8.8,50.34,0.36,3.12,453.4,3.2,28.14,210.38,1.48,13.06,101.58,0.72,6.31,206.12,1.45,12.79,7047.5,49.73,437.46,815.7,5.76,0.795,0.757,0.602,8069.32,12.26,11.308,5.34,0,2.774,5.089,51.972,19.59,45.639,0.121,0.06,0,0.025,0.051,0.522,0.222,82.869,10.429
20,CODYS-4-MS slope,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,slope,P2,20,20,1.83,0.09,23.23,6.0225,14.9025,4.8,0.26,61.48,13.42,7.33,6.17,0.46,3.37,23.73,1.77,12.97,12.83,0.96,7.01,4.59,0.34,2.51,50.48,3.76,27.58,1566.2,116.73,855.85,47.32,3.53,1.016,0.527,0.536,1664,27.07,1.772,0.376,0,0.545,0.128,4.447,2.79,3.359,0.18,0.04,0,0.046,0.012,0.426,0.296,9.009,0.504
50,CODYS-4-MS slope,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,slope,P2,50,30,0.48,0.01,8.35,0.4725,7.035,4.8,0.1,1.95,0.42,0.88,3.47,8.22,7.23,3.35,7.94,6.98,3.99,9.45,8.31,5.2,12.32,10.83,4.42,10.47,9.21,134.47,318.64,280.15,16.01,37.94,0.596,0.577,0.344,154.9,79.6,0.078,0,0,0,0,0.078,0.141,0.124,0.259,0,0,0,0,0.252,0.489,0.298,0
80,CODYS-4-MS slope,CODYS-6,18.29131417,-65.79560247,780,Inceptisol,Colorado,slope,P2,80,30,0.19,0.01,4.67,1.386,2.532,5.9,0.21,1.48,0.31,1.63,6.88,21.94,36.21,6.2,19.77,32.63,5.7,18.18,30,5.54,17.67,29.16,6.95,22.16,36.58,323.22,1030.66,1701.16,24.33,77.58,0.641,0.559,0.359,354.5,240.11,0.022,0,0,0.011,0,0.141,0.038,0.102,0.11,0,0,0.05,0,0.63,0.2,0.201,0
